user_id,signup_date,device,region,marketing_source,subscription_type,subscription_join_date,is_new_user_flag,anomaly_flag
37,2022-03-27,iOS,Gyeonggi,Organic,Free,,0,0
38,2023-08-22,Android,Seoul,Paid,Free,,0,0
39,2022-05-19,iOS,Seoul,Organic,Plus,2022-08-26,0,0
40,2022-03-09,Web,Seoul,Organic,Free,,0,0
41,2024-11-22,Web,Seoul,Organic,Free,,0,0
42,2022-12-23,Android,Seoul,Organic,Plus,2023-03-06,0,0
43,2024-11-30,iOS,Seoul,Referral,Premium,2025-01-01,0,0
44,2023-11-22,Android,Other,Organic,Free,,0,0
45,2024-09-25,Android,Other,Organic,Free,,0,0
46,2023-09-28,iOS,Other,Referral,Plus,2024-03-25,0,0
47,2023-07-07,Android,Other,Organic,Plus,2023-10-03,0,0
48,2023-12-01,iOS,Gyeonggi,Referral,Free,,0,0
49,2023-12-06,Android,Seoul,Organic,Free,,0,0
50,2022-04-07,Android,Other,Organic,Plus,2022-09-27,0,0
51,2024-05-06,Android,Other,Paid,Free,,0,0
52,2024-09-28,Web,Other,Referral,Free,,0,0
53,2023-09-05,Android,Gyeonggi,Paid,Free,,0,0
54,2024-07-15,Web,Gyeonggi,Organic,Plus,2024-10-23,0,0
55,2023-07-27,iOS,Gyeonggi,Organic,Free,,0,0
56,2024-05-04,Android,Gyeonggi,Organic,Free,,0,0
57,2024-12-05,iOS,Seoul,Organic,Premium,2025-01-01,1,0
58,2024-01-28,Android,Seoul,Organic,Plus,2024-03-21,0,0
59,2022-08-15,Web,Seoul,Paid,Free,,0,0
60,2024-01-20,Android,Gyeonggi,Referral,Free,,0,0
61,2024-06-26,Web,Seoul,Organic,Plus,2024-08-13,0,0
62,2023-12-22,Android,Seoul,Paid,Free,,0,0
63,2024-04-18,iOS,Other,Organic,Free,,0,0
64,2023-10-04,iOS,Other,Organic,Free,,0,0
65,2024-02-19,iOS,Seoul,Paid,Free,,0,0
66,2024-05-13,Android,Other,Organic,Plus,2024-08-27,0,0
67,2023-12-25,iOS,Gyeonggi,Paid,Plus,2024-01-25,0,0
68,2023-09-18,Android,Other,Paid,Free,,0,0
69,2023-03-21,Web,Other,Organic,Free,,0,0
70,2023-10-18,Android,Gyeonggi,Paid,Free,,0,0
71,2022-02-17,iOS,Other,Organic,Free,,0,0
72,2023-12-12,iOS,Other,Paid,Plus,2024-06-06,0,0
73,2024-10-13,Android,Gyeonggi,Paid,Free,,0,0
74,2024-12-31,Web,Seoul,Paid,Free,,1,0
75,2024-05-22,iOS,Gyeonggi,Organic,Plus,2024-06-27,0,0
76,2024-08-25,Web,Seoul,Organic,Free,,0,0
77,2023-11-13,Android,Gyeonggi,Paid,Free,,0,0
78,2023-10-21,Web,Seoul,Organic,Premium,2024-01-04,0,0
79,2023-03-11,Android,Gyeonggi,Organic,Plus,2023-04-29,0,0
80,2024-03-14,Web,Gyeonggi,Organic,Plus,2024-08-19,0,0
81,2024-06-18,Android,Gyeonggi,Organic,Premium,2024-07-02,0,0
82,2023-08-10,iOS,Other,Organic,Free,,0,0
83,2024-06-15,iOS,Gyeonggi,Organic,Free,,0,0
84,2024-02-11,Android,Other,Organic,Premium,2024-03-23,0,1
85,2023-11-26,iOS,Seoul,Paid,Free,,0,0
86,2022-02-16,iOS,Other,Organic,Premium,2022-05-03,0,0
87,2023-09-01,iOS,Seoul,Organic,Free,,0,0
88,2024-01-30,Android,Other,Paid,Plus,2024-05-24,0,0
89,2022-03-26,Android,Gyeonggi,Paid,Free,,0,0
90,2023-11-14,Web,Gyeonggi,Referral,Free,,0,0
91,2022-10-22,Web,Gyeonggi,Referral,Plus,2022-11-21,0,0
92,2024-01-22,Web,Seoul,Paid,Free,,0,0
93,2023-07-10,Android,Seoul,Referral,Premium,2023-09-18,0,0
94,2022-10-31,Web,Gyeonggi,Paid,Premium,2022-11-14,0,0
95,2023-06-05,Android,Seoul,Referral,Plus,2023-08-31,0,0
96,2023-07-03,Web,Other,Organic,Free,,0,0
97,2024-06-08,iOS,Seoul,Referral,Free,,0,0
98,2023-02-10,Web,Gyeonggi,Organic,Free,,0,0
99,2023-11-09,iOS,Other,Organic,Plus,2024-03-31,0,0
100,2022-10-31,Android,Seoul,Organic,Free,,0,0
101,2023-08-11,Android,Gyeonggi,Organic,Premium,2023-10-11,0,0
102,2023-02-09,Android,Gyeonggi,Paid,Plus,2023-07-26,0,0
103,2024-01-30,Android,Gyeonggi,Paid,Free,,0,0
104,2024-07-23,Android,Gyeonggi,Organic,Free,,0,0
105,2024-07-25,Android,Seoul,Organic,Free,,0,0
106,2023-12-01,Android,Seoul,Paid,Plus,2024-02-01,0,0
107,2023-08-17,iOS,Seoul,Paid,Plus,2023-10-20,0,0
108,2024-08-20,Android,Gyeonggi,Organic,Free,,0,0
109,2023-06-09,Android,Other,Paid,Premium,2023-08-26,0,0
110,2023-09-20,Android,Other,Organic,Premium,2023-10-05,0,0
111,2024-11-25,iOS,Seoul,Paid,Free,,0,0
112,2022-04-30,Android,Seoul,Organic,Free,,0,0
113,2023-06-15,Web,Gyeonggi,Organic,Plus,2023-10-20,0,0
114,2022-10-01,iOS,Seoul,Organic,Free,,0,0
115,2023-09-09,Android,Gyeonggi,Organic,Free,,0,0
116,2023-08-05,iOS,Other,Organic,Plus,2023-12-02,0,0
117,2024-11-14,Android,Seoul,Organic,Plus,2025-01-01,0,0
118,2024-07-14,iOS,Other,Organic,Free,,0,0
119,2022-03-22,Web,Seoul,Organic,Free,,0,0
120,2023-08-03,iOS,Seoul,Referral,Plus,2023-12-15,0,0
121,2024-11-26,Web,Seoul,Referral,Free,,0,0
122,2022-03-02,Android,Gyeonggi,Organic,Free,,0,0
123,2024-09-25,Android,Other,Organic,Free,,0,0
124,2023-03-18,Web,Seoul,Referral,Free,,0,0
125,2024-07-25,iOS,Seoul,Organic,Free,,0,0
126,2024-08-27,iOS,Gyeonggi,Referral,Free,,0,0
127,2024-02-14,Web,Seoul,Organic,Premium,2024-04-25,0,0
128,2024-03-20,Web,Seoul,Paid,Free,,0,0
129,2024-07-31,Android,Seoul,Paid,Free,,0,0
130,2024-09-20,iOS,Seoul,Organic,Free,,0,0
131,2024-05-01,Android,Gyeonggi,Referral,Free,,0,0
132,2023-09-13,Android,Seoul,Paid,Plus,2024-02-04,0,0
133,2023-07-14,Android,Gyeonggi,Organic,Free,,0,0
134,2022-05-30,iOS,Seoul,Organic,Free,,0,0
135,2022-02-21,Web,Seoul,Organic,Plus,2022-06-10,0,0
136,2024-11-27,iOS,Seoul,Referral,Plus,2025-01-01,0,0
137,2022-08-25,iOS,Gyeonggi,Paid,Free,,0,0
138,2023-11-29,iOS,Other,Paid,Plus,2024-01-23,0,0
139,2023-09-19,iOS,Gyeonggi,Organic,Premium,2023-10-09,0,0
140,2024-01-14,iOS,Seoul,Paid,Free,,0,0
141,2024-11-12,iOS,Gyeonggi,Organic,Free,,0,0
142,2024-06-26,Android,Seoul,Referral,Plus,2024-09-27,0,0
143,2024-02-23,Android,Seoul,Organic,Plus,2024-08-08,0,0
144,2022-09-10,Android,Gyeonggi,Paid,Plus,2022-12-28,0,0
145,2024-11-09,iOS,Gyeonggi,Organic,Free,,0,0
146,2024-04-13,iOS,Gyeonggi,Paid,Free,,0,0
147,2023-07-07,iOS,Gyeonggi,Organic,Free,,0,0
148,2024-01-18,Android,Gyeonggi,Organic,Plus,2024-05-13,0,0
149,2024-04-08,Web,Other,Organic,Free,,0,0
150,2023-03-28,Android,Other,Organic,Free,,0,0
151,2024-09-04,Web,Gyeonggi,Organic,Plus,2025-01-01,0,0
152,2024-11-05,Web,Other,Organic,Free,,0,0
153,2023-09-16,iOS,Gyeonggi,Organic,Plus,2023-12-29,0,0
154,2023-03-07,iOS,Other,Referral,Free,,0,0
155,2024-11-05,Android,Seoul,Paid,Plus,2024-12-30,0,0
156,2023-04-07,Android,Seoul,Organic,Plus,2023-10-02,0,0
157,2023-09-02,iOS,Seoul,Organic,Free,,0,0
158,2022-10-13,iOS,Seoul,Organic,Plus,2023-03-05,0,0
159,2023-10-13,iOS,Seoul,Organic,Free,,0,0
160,2024-04-30,Web,Gyeonggi,Organic,Free,,0,0
161,2024-08-01,iOS,Other,Organic,Plus,2024-10-21,0,0
162,2024-10-08,iOS,Seoul,Organic,Free,,0,0
163,2024-05-27,Android,Other,Referral,Free,,0,0
164,2024-09-30,Android,Seoul,Organic,Free,,0,0
165,2022-04-15,Android,Gyeonggi,Paid,Free,,0,0
166,2024-05-29,Web,Gyeonggi,Paid,Plus,2024-10-06,0,0
167,2022-08-05,iOS,Gyeonggi,Referral,Free,,0,0
168,2024-03-19,iOS,Seoul,Referral,Plus,2024-06-14,0,0
169,2024-01-11,iOS,Gyeonggi,Organic,Plus,2024-03-10,0,0
170,2023-07-30,iOS,Seoul,Referral,Free,,0,0
171,2023-04-03,iOS,Seoul,Referral,Free,,0,0
172,2024-05-24,Android,Seoul,Organic,Free,,0,0
173,2023-10-18,Web,Seoul,Organic,Plus,2024-04-12,0,0
174,2024-02-12,Android,Gyeonggi,Paid,Free,,0,0
175,2024-12-17,Android,Gyeonggi,Organic,Premium,2025-01-01,1,0
176,2024-04-19,Android,Gyeonggi,Referral,Free,,0,0
177,2024-07-26,iOS,Gyeonggi,Organic,Plus,2024-11-02,0,0
178,2022-06-27,iOS,Seoul,Referral,Free,,0,0
179,2023-11-02,Android,Seoul,Referral,Premium,2023-12-30,0,0
180,2022-05-21,iOS,Gyeonggi,Referral,Premium,2022-06-10,0,0
181,2024-11-20,Android,Seoul,Paid,Premium,2025-01-01,0,0
182,2023-12-02,Android,Seoul,Organic,Free,,0,0
183,2024-03-06,iOS,Gyeonggi,Paid,Plus,2024-06-27,0,0
184,2023-08-22,Android,Gyeonggi,Paid,Free,,0,0
185,2024-10-04,Android,Seoul,Organic,Plus,2025-01-01,0,0
186,2023-11-11,iOS,Gyeonggi,Organic,Free,,0,0
187,2024-06-20,Android,Other,Organic,Free,,0,0
188,2023-08-28,iOS,Seoul,Referral,Premium,2023-10-25,0,0
189,2022-07-01,iOS,Seoul,Organic,Free,,0,0
190,2022-10-08,Android,Seoul,Referral,Plus,2023-02-06,0,0
191,2022-06-13,Android,Seoul,Organic,Plus,2022-08-24,0,0
192,2024-06-24,iOS,Gyeonggi,Organic,Free,,0,0
193,2024-09-25,iOS,Seoul,Organic,Free,,0,0
194,2024-09-28,iOS,Other,Paid,Free,,0,0
195,2024-06-26,iOS,Seoul,Organic,Free,,0,0
196,2023-12-30,Web,Other,Paid,Free,,0,0
197,2024-03-29,Web,Gyeonggi,Organic,Free,,0,0
198,2022-10-12,Android,Gyeonggi,Referral,Premium,2022-11-15,0,0
199,2024-01-26,Android,Gyeonggi,Organic,Free,,0,0
200,2024-12-14,Android,Seoul,Organic,Plus,2025-01-01,1,0
201,2023-12-03,Android,Seoul,Organic,Free,,0,0
202,2023-04-27,iOS,Other,Organic,Premium,2023-05-29,0,0
203,2023-12-15,Android,Seoul,Paid,Free,,0,0
204,2023-08-15,Android,Gyeonggi,Organic,Free,,0,0
205,2024-10-25,Android,Other,Organic,Free,,0,0
206,2024-12-08,Android,Seoul,Paid,Plus,2025-01-01,1,0
207,2023-09-21,Web,Gyeonggi,Organic,Free,,0,0
208,2023-02-11,Android,Seoul,Referral,Plus,2023-04-10,0,0
209,2023-06-03,iOS,Seoul,Paid,Free,,0,0
210,2024-11-21,Android,Seoul,Organic,Free,,0,0
211,2022-06-09,Android,Seoul,Organic,Free,,0,0
212,2024-08-22,iOS,Seoul,Paid,Free,,0,0
213,2022-11-19,iOS,Seoul,Organic,Free,,0,0
214,2023-07-03,Android,Gyeonggi,Paid,Plus,2023-10-03,0,0
215,2022-03-07,Android,Seoul,Paid,Free,,0,0
216,2022-11-24,Web,Seoul,Paid,Plus,2023-04-09,0,0
217,2024-07-18,Android,Other,Paid,Free,,0,0
218,2024-06-22,iOS,Gyeonggi,Organic,Free,,0,0
219,2024-07-21,iOS,Other,Referral,Free,,0,0
220,2023-08-25,iOS,Seoul,Referral,Free,,0,0
221,2022-08-04,Android,Gyeonggi,Paid,Free,,0,0
222,2022-02-16,iOS,Other,Organic,Free,,0,0
223,2022-09-14,iOS,Gyeonggi,Paid,Free,,0,0
224,2023-05-03,iOS,Other,Organic,Free,,0,0
225,2022-04-23,iOS,Seoul,Organic,Premium,2022-06-28,0,0
226,2024-07-19,iOS,Seoul,Paid,Free,,0,0
227,2023-07-21,Android,Seoul,Paid,Free,,0,0
228,2023-10-09,iOS,Gyeonggi,Paid,Free,,0,0
229,2024-05-27,iOS,Other,Organic,Premium,2024-07-26,0,0
230,2023-09-14,Web,Gyeonggi,Organic,Free,,0,0
231,2022-07-16,Android,Other,Referral,Free,,0,0
232,2022-06-20,Android,Other,Organic,Premium,2022-08-23,0,0
233,2024-06-26,iOS,Other,Organic,Free,,0,0
234,2023-08-13,iOS,Gyeonggi,Organic,Plus,2023-09-21,0,0
235,2024-09-07,Android,Seoul,Organic,Free,,0,0
236,2023-01-20,iOS,Seoul,Organic,Plus,2023-02-26,0,0
237,2024-08-06,iOS,Gyeonggi,Organic,Plus,2024-12-13,0,0
238,2024-06-03,Android,Other,Organic,Plus,2024-07-14,0,0
239,2022-11-25,iOS,Gyeonggi,Organic,Plus,2023-03-01,0,0
240,2023-07-20,Android,Seoul,Organic,Premium,2023-08-01,0,0
241,2024-11-16,iOS,Other,Organic,Plus,2025-01-01,0,0
242,2023-07-26,iOS,Seoul,Organic,Free,,0,0
243,2023-08-08,Android,Seoul,Paid,Free,,0,0
244,2024-04-18,Android,Seoul,Paid,Premium,2024-05-16,0,0
245,2023-06-30,Android,Seoul,Organic,Free,,0,0
246,2022-07-19,iOS,Other,Paid,Free,,0,0
247,2023-12-26,iOS,Other,Organic,Free,,0,0
248,2024-01-20,iOS,Seoul,Organic,Free,,0,0
249,2024-02-21,Android,Gyeonggi,Organic,Free,,0,0
250,2024-11-22,iOS,Gyeonggi,Organic,Free,,0,0
251,2023-08-19,Android,Gyeonggi,Organic,Free,,0,0
252,2024-06-15,Android,Seoul,Organic,Free,,0,0
253,2023-09-29,Android,Seoul,Referral,Free,,0,0
254,2024-04-24,iOS,Gyeonggi,Paid,Free,,0,0
255,2022-10-29,iOS,Gyeonggi,Organic,Plus,2022-12-09,0,0
256,2023-10-10,iOS,Other,Organic,Free,,0,0
257,2024-05-05,iOS,Gyeonggi,Organic,Free,,0,0
258,2024-12-28,iOS,Other,Organic,Free,,1,0
259,2023-12-25,Web,Other,Organic,Free,,0,0
260,2022-11-30,Web,Seoul,Organic,Free,,0,0
261,2022-10-03,iOS,Seoul,Organic,Free,,0,0
262,2023-09-29,iOS,Other,Organic,Free,,0,0
263,2024-09-19,iOS,Gyeonggi,Paid,Free,,0,0
264,2023-12-14,Android,Seoul,Organic,Plus,2024-03-19,0,0
265,2023-08-03,Web,Seoul,Referral,Free,,0,0
266,2023-10-23,Android,Seoul,Paid,Plus,2024-03-15,0,0
267,2023-10-02,Android,Seoul,Referral,Free,,0,0
268,2024-10-09,Android,Gyeonggi,Paid,Free,,0,0
269,2025-01-01,iOS,Seoul,Organic,Free,,1,0
270,2022-04-22,iOS,Seoul,Organic,Free,,0,0
271,2022-03-11,Android,Seoul,Organic,Plus,2022-07-05,0,0
272,2024-01-20,Android,Other,Paid,Free,,0,1
273,2024-08-01,Android,Gyeonggi,Organic,Free,,0,0
274,2023-10-22,Web,Other,Organic,Plus,2024-01-13,0,0
275,2022-09-09,Android,Seoul,Organic,Free,,0,0
276,2023-05-19,iOS,Other,Organic,Free,,0,0
277,2022-06-06,iOS,Gyeonggi,Organic,Free,,0,0
278,2024-03-05,Android,Seoul,Paid,Free,,0,0
279,2024-05-18,iOS,Seoul,Organic,Free,,0,0
280,2024-10-19,Android,Seoul,Paid,Free,,0,0
281,2023-11-07,iOS,Seoul,Organic,Plus,2024-01-12,0,0
282,2024-03-02,Web,Seoul,Paid,Free,,0,0
283,2024-02-02,Web,Gyeonggi,Organic,Free,,0,0
284,2023-10-13,iOS,Seoul,Paid,Premium,2023-12-15,0,1
285,2022-11-05,Android,Gyeonggi,Referral,Plus,2022-12-25,0,0
286,2024-02-02,Web,Gyeonggi,Organic,Free,,0,0
287,2024-09-18,iOS,Other,Organic,Free,,0,0
288,2023-03-01,Android,Other,Paid,Free,,0,0
289,2023-02-24,Android,Seoul,Organic,Free,,0,0
290,2022-08-16,iOS,Gyeonggi,Paid,Free,,0,0
291,2023-05-04,iOS,Seoul,Organic,Free,,0,0
292,2023-05-20,Android,Seoul,Organic,Free,,0,0
293,2024-08-29,Android,Gyeonggi,Organic,Plus,2024-11-17,0,0
294,2024-09-13,Android,Other,Organic,Free,,0,0
295,2024-07-03,iOS,Gyeonggi,Organic,Plus,2024-09-17,0,1
296,2023-12-25,Android,Other,Organic,Free,,0,0
297,2024-01-08,Android,Gyeonggi,Organic,Free,,0,0
298,2024-03-27,Android,Other,Paid,Free,,0,0
299,2022-12-29,Android,Seoul,Organic,Free,,0,0
300,2024-11-02,iOS,Gyeonggi,Paid,Free,,0,0
301,2023-11-26,iOS,Other,Organic,Free,,0,0
302,2022-04-02,Android,Gyeonggi,Organic,Premium,2022-06-11,0,0
303,2023-07-18,Web,Seoul,Organic,Free,,0,0
304,2023-08-08,iOS,Gyeonggi,Organic,Free,,0,0
305,2023-07-28,Android,Seoul,Organic,Free,,0,0
306,2024-10-16,iOS,Other,Organic,Free,,0,0
307,2024-10-21,Android,Other,Organic,Free,,0,0
308,2024-11-16,iOS,Other,Organic,Plus,2024-12-25,0,0
309,2024-05-08,Android,Seoul,Paid,Free,,0,0
310,2024-09-17,iOS,Seoul,Organic,Free,,0,0
311,2022-08-09,iOS,Other,Referral,Premium,2022-09-22,0,0
312,2024-04-20,iOS,Gyeonggi,Organic,Premium,2024-05-13,0,0
313,2024-04-24,Android,Other,Organic,Plus,2024-09-02,0,0
314,2022-09-12,iOS,Other,Paid,Free,,0,0
315,2023-07-26,iOS,Other,Paid,Premium,2023-09-20,0,0
316,2024-10-16,Android,Seoul,Paid,Premium,2024-12-24,0,0
317,2024-01-03,iOS,Gyeonggi,Organic,Free,,0,0
318,2024-02-25,iOS,Other,Organic,Free,,0,0
319,2024-12-30,Android,Seoul,Organic,Free,,1,0
320,2022-07-14,Android,Gyeonggi,Organic,Plus,2022-12-23,0,0
321,2024-04-03,iOS,Seoul,Paid,Premium,2024-04-14,0,0
322,2024-12-18,iOS,Seoul,Organic,Free,,1,0
323,2023-09-05,iOS,Other,Organic,Premium,2023-11-20,0,0
324,2024-11-24,Web,Seoul,Paid,Premium,2024-12-15,0,0
325,2024-05-16,Android,Seoul,Paid,Free,,0,0
326,2024-08-29,Android,Seoul,Organic,Plus,2024-11-03,0,0
327,2024-08-10,Android,Gyeonggi,Referral,Free,,0,0
328,2024-12-08,Web,Other,Organic,Plus,2025-01-01,1,0
329,2024-10-27,Web,Seoul,Paid,Free,,0,0
330,2024-08-09,iOS,Other,Organic,Plus,2024-10-15,0,0
331,2024-09-13,iOS,Gyeonggi,Referral,Free,,0,0
332,2022-07-08,Android,Other,Organic,Free,,0,0
333,2023-11-04,iOS,Seoul,Organic,Free,,0,0
334,2024-03-26,Android,Other,Organic,Premium,2024-04-20,0,0
335,2023-10-17,iOS,Seoul,Organic,Plus,2024-03-18,0,0
336,2023-12-22,Web,Seoul,Organic,Free,,0,0
337,2024-03-31,Android,Other,Organic,Free,,0,0
338,2023-08-18,Android,Seoul,Organic,Free,,0,0
339,2024-01-18,Android,Gyeonggi,Organic,Free,,0,0
340,2024-01-18,Android,Other,Paid,Free,,0,0
341,2024-08-18,Android,Gyeonggi,Paid,Premium,2024-09-11,0,0
342,2024-05-04,Android,Seoul,Referral,Plus,2024-08-28,0,0
343,2024-05-18,Android,Gyeonggi,Paid,Free,,0,0
344,2022-12-01,Android,Gyeonggi,Organic,Plus,2023-02-09,0,0
345,2022-03-31,Android,Gyeonggi,Organic,Free,,0,0
346,2023-07-08,Android,Seoul,Organic,Free,,0,0
347,2024-09-06,iOS,Seoul,Organic,Free,,0,0
348,2023-08-17,Android,Seoul,Paid,Free,,0,0
349,2022-04-27,iOS,Seoul,Paid,Free,,0,0
350,2022-06-15,Android,Other,Organic,Free,,0,0
351,2024-07-13,Android,Gyeonggi,Paid,Free,,0,0
352,2022-08-20,iOS,Seoul,Organic,Plus,2022-12-23,0,0
353,2022-11-29,iOS,Seoul,Paid,Free,,0,0
354,2023-02-22,Android,Seoul,Organic,Free,,0,0
355,2024-10-04,Android,Seoul,Organic,Free,,0,0
356,2023-02-23,Android,Seoul,Organic,Free,,0,0
357,2022-10-26,iOS,Other,Paid,Free,,0,0
358,2024-12-23,Android,Seoul,Organic,Free,,1,0
359,2024-07-14,Android,Seoul,Organic,Free,,0,0
360,2024-07-18,Web,Gyeonggi,Referral,Plus,2024-11-28,0,0
361,2022-08-25,Web,Seoul,Organic,Plus,2023-02-04,0,0
362,2024-02-08,Web,Gyeonggi,Organic,Plus,2024-07-09,0,0
363,2022-05-19,iOS,Seoul,Organic,Free,,0,0
364,2024-02-19,iOS,Gyeonggi,Organic,Free,,0,0
365,2022-08-12,Android,Seoul,Organic,Plus,2022-09-12,0,0
366,2022-04-09,Android,Gyeonggi,Paid,Plus,2022-06-24,0,0
367,2022-02-14,Android,Other,Paid,Free,,0,0
368,2022-07-28,Android,Gyeonggi,Referral,Free,,0,0
369,2024-05-18,Android,Gyeonggi,Organic,Plus,2024-10-27,0,0
370,2024-03-17,Android,Seoul,Organic,Free,,0,0
371,2024-12-28,iOS,Gyeonggi,Organic,Free,,1,0
372,2024-10-16,iOS,Gyeonggi,Organic,Free,,0,0
373,2024-08-23,iOS,Seoul,Organic,Premium,2024-11-17,0,0
374,2024-11-21,Android,Gyeonggi,Organic,Plus,2025-01-01,0,0
375,2024-03-12,iOS,Gyeonggi,Organic,Free,,0,0
376,2023-07-26,iOS,Other,Paid,Premium,2023-08-18,0,0
377,2022-05-16,Android,Gyeonggi,Organic,Plus,2022-06-28,0,0
378,2024-08-12,iOS,Other,Paid,Free,,0,0
379,2024-08-10,Web,Other,Organic,Free,,0,0
380,2022-02-24,Web,Other,Organic,Plus,2022-07-12,0,0
381,2024-09-20,Web,Seoul,Paid,Free,,0,0
382,2024-06-18,Android,Seoul,Paid,Premium,2024-08-25,0,0
383,2022-06-16,iOS,Gyeonggi,Paid,Plus,2022-11-05,0,0
384,2022-04-20,Android,Seoul,Organic,Free,,0,0
385,2024-03-19,Web,Other,Paid,Premium,2024-05-10,0,0
386,2024-05-16,iOS,Seoul,Organic,Premium,2024-07-23,0,0
387,2024-07-29,iOS,Seoul,Organic,Free,,0,0
388,2024-09-27,Android,Seoul,Organic,Free,,0,0
389,2022-05-27,Android,Gyeonggi,Organic,Free,,0,0
390,2022-10-31,Web,Seoul,Organic,Free,,0,0
391,2023-07-30,iOS,Gyeonggi,Organic,Plus,2023-10-31,0,0
392,2024-09-06,iOS,Gyeonggi,Paid,Free,,0,0
393,2023-02-03,Android,Other,Paid,Free,,0,0
394,2024-05-31,iOS,Seoul,Organic,Free,,0,0
395,2024-12-18,Android,Other,Paid,Free,,1,0
396,2022-10-24,Web,Other,Paid,Free,,0,0
397,2024-02-13,Android,Gyeonggi,Organic,Plus,2024-05-24,0,0
398,2023-03-04,Android,Other,Referral,Premium,2023-05-12,0,0
399,2024-03-16,Android,Seoul,Organic,Free,,0,0
400,2022-10-02,Web,Gyeonggi,Paid,Plus,2022-12-19,0,0
401,2024-12-22,Android,Other,Organic,Free,,1,0
402,2023-02-28,iOS,Gyeonggi,Organic,Plus,2023-07-13,0,0
403,2024-01-22,Web,Seoul,Paid,Free,,0,0
404,2022-06-11,Android,Seoul,Organic,Plus,2022-11-10,0,0
405,2022-12-14,iOS,Gyeonggi,Paid,Plus,2023-04-30,0,0
406,2023-09-30,iOS,Other,Organic,Plus,2024-03-25,0,0
407,2024-02-13,iOS,Other,Paid,Free,,0,0
408,2023-03-07,Web,Seoul,Paid,Free,,0,0
409,2023-12-21,iOS,Other,Organic,Free,,0,0
410,2024-11-12,Android,Other,Organic,Free,,0,0
411,2022-09-19,iOS,Gyeonggi,Organic,Free,,0,0
412,2022-05-31,iOS,Gyeonggi,Organic,Free,,0,0
413,2023-11-24,Android,Other,Organic,Free,,0,0
414,2023-11-09,iOS,Gyeonggi,Organic,Free,,0,0
415,2025-01-01,Android,Gyeonggi,Paid,Free,,1,0
416,2022-07-06,Android,Gyeonggi,Organic,Plus,2022-11-04,0,0
417,2023-10-29,Android,Seoul,Paid,Plus,2024-02-05,0,0
418,2024-08-18,Android,Gyeonggi,Organic,Premium,2024-10-25,0,0
419,2024-02-24,Android,Other,Paid,Free,,0,0
420,2024-05-03,Android,Gyeonggi,Organic,Plus,2024-10-21,0,0
421,2024-10-19,Android,Gyeonggi,Referral,Plus,2025-01-01,0,0
422,2022-12-14,Android,Other,Organic,Free,,0,0
423,2024-01-21,Android,Seoul,Paid,Free,,0,0
424,2024-07-07,Android,Other,Referral,Free,,0,0
425,2024-12-08,iOS,Seoul,Paid,Plus,2025-01-01,1,0
426,2023-08-20,iOS,Other,Paid,Plus,2023-11-02,0,0
427,2023-01-16,Android,Seoul,Organic,Free,,0,0
428,2023-02-06,iOS,Other,Organic,Plus,2023-03-15,0,0
